	FILENAME	TRACK TITLE FOR REPORTING	COMPOSER/S 		PUBLISHER	DESCRIPTION	BPM	SUGGESTED USE	keywords
SERIES 1	MKR Build to Celebrate 5	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	U2 style GTR build into full groove - build throughout		Success/ Reward	
SERIES 1	MKR Build to Celebrate 6	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A	Light accoustic GTR intro - Build to groove		Success/ Reward	
SERIES 1	MKR Bumper Out	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A			Bumper Out	
SERIES 1	MKR Cast Play Off WIP	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Chase Ginger	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast latin groove with solo violin		shopping/ Quirky	
SERIES 1	MKR Chase Ginger 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	medium Latin groove with piano accordian/ solo violin		shopping/ Quirky	
SERIES 1	MKR Coles Unmixed 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Coles Unmixed 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Cuccina ara bella welcome	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Drama accent	My Kitchen Rules Background (Series 1)							
SERIES 1	MKR Drama Build 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Orchestral String pulses with repeated harp - Build to end		Drama tension/ Bumper Out	
SERIES 1	MKR Drama Build 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Tense piano riff with string pulses and big percusion hits - Builds		Drama tension/ Bumper Out	
SERIES 1	MKR Drama Build 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast string Riff that builds		Drama tension/ Bumper Out	
SERIES 1	MKR Drama Build 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Floating piano start - Big Orchestral Build		Drama tension/ Bumper Out	
SERIES 1	MKR Drama Build 5	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Tense synth start - Low Piano build - Big string build to end		Drama tension	
SERIES 1	MKR Drama Build 6	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Piano riff with big drum hits - string tension builds		Drama tension	
SERIES 1	MKR Drama Build 7	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	String riff with Low brass accents - Builds into big end		Drama tension	
SERIES 1	MKR Drama Build 8	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast strings with percussion - Brass accents - Builds to end		Drama tension - BIG	
SERIES 1	MKR Drama Build 9	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Repeated synth pulse/ added strings/ drum hits		Drama tension	
SERIES 1	MKR Drama Build 10	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Hi string Riff with orchestral puctuation/ snare and bells to end		Drama tension	
SERIES 1	MKR Drama Build 11	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	String riff with Low brass accents - Builds into big end		Drama tension/ Bumper Out	
SERIES 1	MKR Drama Build 12	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Low string pulse with climbing lines		Drama 	
SERIES 1	MKR Drama Build 13	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	String pulse/ Horn tensions/ Building drums		Drama	
SERIES 1	MKR Drama Build 14	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Pizz and strings with building orchestra		Drama	
SERIES 1	MKR Drama Build 15	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A	Strong Violin riff - Build to low Brass accents/ Syncopated end		Drama/ Tease	
SERIES 1	MKR Drama Build 16	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	strong Cello riff/ drum accents/ - Strings build to end		Drama/ Bumper Out	
SERIES 1	MKR Drama Build 17	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Modern bass and drums with big string accents		Drama/ Bumper Out	
SERIES 1	MKR Drama Build 18	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	string tensions with percussion / Build to string accents		Drama	
SERIES 1	MKR Drama Build 19	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Strong String Riff - Joined by drums and bass - Build to end		Drama	
SERIES 1	MKR Drama Build 20	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Electric piano riff - tech percussion- big orchestral build at end		Drama	
SERIES 1	MKR Drama Build 21	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A			Drama	
SERIES 1	MKR Drone D short	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Drone 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Smooth drone with distant piano notes and Synth pulse		Taste Food/ Judging	
SERIES 1	MKR Drone 2 Heart Beat	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Low drone with Heartbeat pulse Bass - Random percussive FX		Taste Food/ Judging	
SERIES 1	MKR Drone 3 simple	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Low swelling drone		Taste Food/ Judging	
SERIES 1	MKR Earthy Country 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Moderate fast feel good country/pop		Success	
SERIES 1	MKR Earthy Country 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast accoustic country feel		Success	
SERIES 1	MKR Earthy Country 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium accoustic GTR - Feel good		Success	
SERIES 1	MKR Earthy Country 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Strong Accoustic GTR Riff 		Success	
SERIES 1	MKR End Ep Track	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Strong Accoustic GTR Riff with solid drums		Wrap Up Show - Success	
SERIES 1	MKR end tease NRG 1	My Kitchen Rules Background (Series 1)							
SERIES 1	MKR Ep 1 20 Stripped	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Ep 1 Rep4 BS Full New	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A				
SERIES 1	MKR Ep 1 Rep4 BS Full Mx	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A				
SERIES 1	MKR Failure 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Warm Pads and electric Piano with strings		Reflect/Journeys End	
SERIES 1	MKR Failure 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A			Reflect/Journeys End	
SERIES 1	MKR Failure 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Warm strings and piano		Reflect/Journeys End	
SERIES 1	MKR Failure 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium Beat		Reflect/Journeys End	
SERIES 1	MKR Failure 5 	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Piano and strings		Reflect/Journeys End	
SERIES 1	MKR Failure 6	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Piano and strings		Reflect/Journeys End	
SERIES 1	MKR Frantic Italian Kitchen	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Frantic Kitchen 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast Percussion and Accoustic Bass riff		Cooking	
SERIES 1	MKR Frantic Kitchen 2 Pots N	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast Traditional Percussion and Kitchen percussion		Cooking	
SERIES 1	MKR Frantic Kitchen 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium afro style percussion - Builds through out		Cooking	
SERIES 1	MKR Frantic Kitchen 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	drum roll into manic percussion		Cooking	
SERIES 1	MKR Frantic Kitchen 5	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast modern drum n Bass - elctro pulse develops		Cooking/ Shopping	
SERIES 1	MKR Frantic kitchen 6	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast percussion with Latin Fills - Builds to end		Cooking	
SERIES 1	MKR Frantic Kitchen 7 crazy	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	weird percussion beat with kitchen pan percussion		Cooking	
SERIES 1	MKR Frantic Kitchen 8	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	hi percussion pulse with warm pads - tension FX		Taste Food/ Cooking	
SERIES 1	MKR Frantic Kitchen 9	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Afro percusion - builds throughout		Cooking	
SERIES 1	MKR Frantic Kitchen 10	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Lo drone with strong percussion - tense - Scary hits toward end		Cooking/ Tension	
SERIES 1	MKR Frantic Kitchen 11	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Light Hi percussion - mallet riffs/ joined by Pizz		Cooking	
SERIES 1	MKR Frantic Kitchen 12	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Afro percussion with Snare accents/ drums and bass join		Cooking	
SERIES 1	MKR Frantic Kitchen 13	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast tech beat with latin percussion highlights		Cooking	
SERIES 1	MKR Frantic Kitchen 14	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast percussion with quirky latin Pizz		Cooking/ Fun	
SERIES 1	MKR Frantic Kitchen 15	My Kitchen Rules Background (Series 1)	Brydon Stace		N/A	Strong string riff into drum and bass groove		Cooking/ drama	
SERIES 1	MKR Frantic Kitchen 16	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Pizz strings with fast percussion		Cooking/ Fun	
SERIES 1	MKR Guests Arrive	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Piano build into "Shuffle" groove		Guests arrive	
SERIES 1	MKR Guests Arrive 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Strong GTR Rhythm - Builds		Guests arrive	
SERIES 1	MKR Guests Arrive 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Modern pop - up vibe Party		Guests arrive/ up Vibe	
SERIES 1	MKR Journeys End 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Emotional piano and strings - Builds		Reflection/ Elimination	
SERIES 1	MKR Journeys End 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Emotional piano and strings - Builds		Reflection/ Elimination	
SERIES 1	MKR Judges Arrive	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Strong R & B Beat with bell hits		Judges Arrive	
SERIES 1	MKR Light Fun 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium Jazz bass with curious vibes		Fun/ Cooking	
SERIES 1	MKR Light Fun 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium Jazz bass with Jazz vibes		Fun/ Cooking	
SERIES 1	MKR Light Fun 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast Percussion with Jazz beats and vibe tension - SHORT		Fun/ Cooking	
SERIES 1	MKR Light Fun 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast Percussion with Jazz bass Lines and FX - Short		Fun/ Cooking	
SERIES 1	MKR Light Fun 5	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Walking Bass and Tom groove - builds with Jazz Brass		Fun/ Cooking	
SERIES 1	MKR Light Fun 6	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Light Hi Percussion Pulse with random Pizz and Marimba		Fun/ Cooking	
SERIES 1	MKR Light kitchen 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast percussion with bass		Cooking	
SERIES 1	MKR Light kitchen 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	medium Percussion with Bass and pizz		Cooking/Shopping/ Quirky	
SERIES 1	MKR Light Kitchen 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium Latin		Cooking/ Shopping	
SERIES 1	MKR Light Suspense	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	repeated piano riff with mallets and pizz		Cooking/ Quirky	
SERIES 1	MKR Link 1 tension	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	String drone with Tymp Beats -		Judging/ Tension	
SERIES 1	MKR Link 2 judge is happy	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Happy keyboards		Judging / Success	
SERIES 1	MKR Link 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Link 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast Synth pulses with drum beat		Judging	
SERIES 1	MKR Link 5 light tension	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Smooth Pads with random percussion FX		Judging/ Taste Food	
SERIES 1	MKR Menu Review	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	 Warm Pads - repeated piano melody - Pulse Bass		CHEF DELIB / Judging	
SERIES 1	MKR Menu Review 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Strong medium beat		CHEF DELIB / Judging	
SERIES 1	MKR Neutral 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Evolving pulse with smooth pads and light percussion		Judging/ Taste food	
SERIES 1	MKR NRG 3 Up	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Strong Modern beat - 		Shopping/ Up vibe	
SERIES 1	MKR NRG 4 Beginnings	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Modern GTR Pulse into solid medium drums		Shopping/set Up	
SERIES 1	MKR NRG 5 Busy Kitchen	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast drum and Bass/ quirky Piano chords / Bass Groove. Fast. Active		shopping/ Cooking	
SERIES 1	MKR NRG 6	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast modern synth riff Beat with breakdowns		Shopping	
SERIES 1	MKR NRG 7	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast Pop - Piano Riff into synth pulse - Manic		Shopping	
SERIES 1	MKR NRG 8	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Fast Drum and Bass with breakdowns / Busy percussion. Running repetitive bass riff		Shopping	
SERIES 1	MKR NRG 9	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	fast drum and bass with GTR/Synth pulses / Busy. Plucking guitar. Percussive break in middle		Shopping	
SERIES 1	MKR NRG 10 Full	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	strong English Style GTR POP		Set up/ Shopping	
SERIES 1	MKR NRG 10 Club Build	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Club Style beat - with build		Set up/ Shopping	
SERIES 1	MKR NRG 10 Hey Ya	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	OutKast style track		Set up/ Shopping	
SERIES 1	MKR NRG 11	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	modern Electro Beat		Shopping	
SERIES 1	MKR NRG 12 Under the Pump	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	frantic ectro Energy with stabs		Shopping	
SERIES 1	MKR Playout New	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Guitar based feel good.		Inst.Rest Team Departure	
SERIES 1	MKR Playout New	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Alternate Mix to above		Wrap Up Show - Success	
SERIES 1	MKR Quirky ext	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Quirky and hokey track with Mallets and Sax / Mallet and Pizz with latin riff		Cooking/ Shopping/ quirky	
SERIES 1	MKR Quirky 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Bass and pizz and light perc		Cooking/ quirky	
SERIES 1	MKR Quirky 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Cheesy. Quirk with Xylophone		Humour/Character	
SERIES 1	MKR Reflect 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Piano melody - with string build		Reflect	
SERIES 1	MKR Reflect 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Piano High riff with strings/ Low hits and light perc		Reflect	
SERIES 1	MKR Review Menu 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Review Menu 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A				
SERIES 1	MKR Sicilian market	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Quirky Italian feel. Old dance beat. Short		Humour/Character	
SERIES 1	MKR Sicilian Village	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Quirky Italian feel		Humour/Character	
SERIES 1	MKR Success 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Up beat modern rock		Success	
SERIES 1	MKR Success 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	U2 style GTR build to full rock rhythm		Success	
SERIES 1	MKR Success 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Light up beat accoustic GTR into Full Rhythm		Success	
SERIES 1	MKR Success 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Up vibe modern rock		Success	
SERIES 1	MKR Success 5	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium rock		Success	
SERIES 1	MKR Success 6	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Medium rock		Success	
SERIES 1	MKR Success 7	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Piano start with warm strings/ into fast Ballad		Success	
SERIES 1	MKR Success 8	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Pad swell into medium relaxed groove		Success	
SERIES 1	MKR Taste Food 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Evolving GTR - warm pads light perc pulse		Taste Food	
SERIES 1	MKR Taste Food 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	fast synth pulse / repeated piano line		Taste Food	
SERIES 1	MKR Taste Food 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A			Taste Food	
SERIES 1	MKR Taste Food 5	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Jazzy bass line/ Vibe strings/ Light perc		Taste Food/ Cooking	
SERIES 1	MKR Taste Food 6	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Rising swelling pads / Light perc		Taste Food	
SERIES 1	MKR Taste Food 7	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	GTR Pulse with orchestral swells		Taste Food	
SERIES 1	MKR Taste Food 8	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	GTR Pulse with Pads.   Ticking perc into low bass lines build		Taste food	
SERIES 1	MKR Taste Food 9	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	GTR Pulse with swirling pads/ 		Taste Food	
SERIES 1	MKR Taste Food 10	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	GTR Pulse with swelling strings		Taste Food	
SERIES 1	MKR Taste Food 11	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Random Bass pulse with Hi Sythn Pulse - Tense middle to build		Taste food	
SERIES 1	MKR Tension 1	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Pads with delayed piano lines - String builds		Taste Food/ Judging	
SERIES 1	MKR Tension 2	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Low bass Pulse with warm pads/ warped piano FX		Taste Food/ Judging	
SERIES 1	MKR Tension 3	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Synth Pulse - develops into synth riff with perc/ Builds to end		Taste Food/ Judging	
SERIES 1	MKR Tension 4	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Warped Synth pulses with orchestral tension swells		Taste Food/ Judging	
SERIES 1	MKR Tension 5	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Bass pulse with random sythn FX - Percussion ticks away		Taste Food/ Judging	
SERIES 1	MKR Tension 6	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Warm Piano melody with Pads		Taste Food/ Judging	
SERIES 1	MKR tension 7	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	evolving synth riff - Warm Pads with haunting piano line		Taste Food/ Judging	
SERIES 1	MKR Tension 8	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Synth pulse/ Bass pulse - light perc  time ticking		Taste Food/ Judging	
SERIES 1	MKR Tension 9	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	String pulses with Piano melody		Taste Food/ Judging	
SERIES 1	MKR tension 10	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Low Piano pulse with hi synth melody - Light drums		Taste Food/ Judging	
SERIES 1	MKR Tension 11	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	GTR pulse with building pads/piano		Taste Food/ Judging	
SERIES 1	MKR Tension 12	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Strong String Pulse - HH pulse / Orch swells		Taste Food/ Judging/ Drama	
SERIES 1	MKR Tension 13	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Evolving Pads - joined by bass pulse		Taste Food/ Judging	
SERIES 1	MKR Tension 14	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	GTR pulse with building pad FX   HH Pulse		Taste Food/ Judging	
SERIES 1	MKR tension 15	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Low synth pulse with Electric piano lines		Taste Food/ Judging	
SERIES 1	MKR Tension 16	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Evolving synth pulse		Taste Food/ Judging	
SERIES 1	MKR Tension 17	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Ethnic pulses - Light perc		Taste Food	
SERIES 1	MKR Tension 18	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Ethnic pulses - Light perc		Taste Food	
SERIES 1	MKR Tension 19	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Bass pulse with accoustic GTR repetitions		Taste Food	
SERIES 1	MKR Tension 20	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	ethnic sythn pulses/ string accents - build to end		Drama Tension	
SERIES 1	MKR Tension 21	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Evolving pulse with sweep pad - light perc		Taste Food/ Judging	
SERIES 1	MKR Tension 22	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	GTR pulse with building pads  hi Piano pulse		Taste Food/ Judging	
SERIES 1	MKR Tension 23	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	String pulses with Evolving GTR pulse to warm string tension		Taste food/ Judging	
SERIES 1	MKR Tension 24	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Smooth pad with random Perc and bass pulses		Taste Food/ Judging	
SERIES 1	MKR Tension 25	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Warm swelling pads with percussion		Taste food/ Judging	
SERIES 1	MKR Tension 26	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	fast synth pulses with airy pads and Low perc pulse		Taste Food/ Judging	
SERIES 1	MKR Tension 27	My Kitchen Rules Background (Series 1)	Jay stewart 		N/A	Time ticking perc throughout / Alt warm pads and synth pulse		Taste Food/ Judging	
